norm_title,critics_consensus,tomatometer_rating
kinsey,"A biopic of the sex researcher is hailed as adventurous, clever, and subversive, with fine performances by Liam Neeson and Laura Linney.",90.0
juanita,"Juanita's refreshing journey of self-actualization may lead to a predictable destination, but a sterling star turn by Alfre Woodard gives this sojourn an invaluable spark.",81.0
traffik,Traffik highlights Paula Patton's impressive dramatic chops -- and smothers them in a thoroughly underwhelming exploitation thriller.,27.0
la fille de monaco the girl from monaco,"Undeniably slight, this satiric thriller suffers from an uneven tone and a relative lack of thrills, but solid performances from the cast help keep it afloat.",47.0
30 days of night,"While 30 Days of Night offers a few thrills, it ultimately succumbs to erratic execution.",51.0
harvard beats yale 2929,Harvard Beats Yale 29-29 is compelling viewing even though it spoils the score of the titular college football matchup - and even if you aren't a fan of the sport.,92.0
greenfingers,"Greenfingers follows the British feel-good formula of underdogs somehow beating the odds, adding nothing new to this already saturated genre.",46.0
iousa,"A potent and lithely constructed documentary about America's financial crisis, I.O.U.S.A grabs you with figures but holds you with irreverent wit.",88.0
willard,"In this creepy story of a man and his rodents, Glover seems born to play the oddball title character.",64.0
short circuit,"Amiable and good-natured but also shallow and predictable, Short Circuit is hardly as deep or emotionally resonant as E.T. -- though Johnny Five makes for a charming robot protagonist.",59.0
paris je taime,"Paris Je T'aime is uneven, but there are more than enough delightful moments in this omnibus tribute to the City of Lights to tip the scale in its favor.",87.0
titan ae,"Great visuals, but the story feels like a cut-and-paste job of other sci-fi movies.",51.0
dreamgirls,Dreamgirls' simple characters and plot hardly detract from the movie's real feats: the electrifying performances and the dazzling musical numbers.,78.0
voyeur,"Absorbing, unpredictable, and overall compelling, Voyeur is a singularly unusual -- and utterly memorable -- documentary experience.",79.0
nosferatu phantom der nacht nosferatu the vampyre,Stunning visuals from Werner Herzog and an intense portrayal of the famed bloodsucker from Klaus Kinski make this remake of Nosferatu a horror classic in its own right.,95.0
view from the top,"Uneven in tone and badly edited, A View From the Top wastes the talents of its cast and condescends to its characters.",14.0
dont breathe,"Don't Breathe smartly twists its sturdy premise to offer a satisfyingly tense, chilling addition to the home invasion genre that's all the more effective for its simplicity.",88.0
kubo and the two strings,Kubo and the Two Strings matches its incredible animation with an absorbing -- and bravely melancholy -- story that has something to offer audiences of all ages.,97.0
adult beginners,"Perfectly pleasant yet never particularly engaging, Adult Beginners is a mild middle-of-the-road comedy content to coast on the charms of its talented cast.",48.0
the magnificent seven,The Magnificent Seven never really lives up to the superlative in its title -- or the classics from which it draws inspiration -- but remains a moderately diverting action thriller on its own merits.,64.0
lust caution,"Ang Lee's Lust, Caution is a tense, sensual and beautifully-shot espionage film.",72.0
starter for 10,Starter For 10 is a spirited coming-of-age tale that remains charming and witty even as it veers into darker teritory. The unique setting of a quiz show makes the film wittier than your average romantic comedy.,90.0
american ultra,"American Ultra has some interesting ideas, but like its stoned protagonist, it's too easily distracted to live up to its true potential.",43.0
infinitely polar bear,"Infinitely Polar Bear handles its thorny themes with a somewhat troublesomely light touch, but Mark Ruffalo's complex performance keeps the drama solidly grounded.",82.0
miss sloane,Miss Sloane sits squarely on the shoulders of Jessica Chastain's performance -- and she responds with awards-worthy work that single-handedly elevates the film.,76.0
the honeymooners,This pointless remake of the classic TV series only offers generic characters and gags.,13.0
the bad news bears,"The Bad News Bears is rude, profane, and cynical, but shot through with honest, unforced humor, and held together by a deft, understated performance from Walter Matthau.",97.0
a monster calls,A Monster Calls deftly balances dark themes and fantastical elements to deliver an engrossing and uncommonly moving entry in the crowded coming-of-age genre.,86.0
the first monday in may,"First Monday in May may not resonate far beyond its target demographic, but for fashion aficionados, it should prove utterly absorbing.",76.0
shaft,"This is the man that would risk his neck for his brother, man. Can you dig it?",88.0
the secret life of walter mitty,"It doesn't lack for ambition, but The Secret Life of Walter Mitty fails to back up its grand designs with enough substance to anchor the spectacle.",52.0
foxy brown,"Rampant amorality and sensationalist flourishes give this crime thriller a rich coat of grime, but Foxy Brown's powerful center lies in Pam Grier's commanding performance.",60.0
the villainess aknyeo,The Villainess offers enough pure kinetic thrills to satisfy genre enthusiasts -- and carve out a bloody niche for itself in modern Korean action cinema.,85.0
i dont feel at home in this world anymore,"I don't feel at home in this world anymore. transcends its unwieldy title to offer timely, intoxicatingly dark observations on gender dynamics and social norms in modern America.",89.0
sorry haters,"Robin Wright Penn and Abdel Kechiche's powerful performances aren't enough to keep the increasingly unbalanced Sorry, Haters from tottering completely off its axis.",37.0
here comes the boom,Here Comes the Boom benefits from Kevin James's genial presence but the film doesn't deliver enough laughs to live up to its title -- or enough satisfying plot to make up the difference.,41.0
the perfect holiday,The Perfect Holiday is the perfect example of Christmas movie clichés run amok.,19.0
the secret life of bees,"The Secret Life of Bees has moments of charm, but is largely too maudlin and sticky-sweet.",59.0
the girl in the spiders web,The Girl in the Spider's Web focuses on the action elements of its source material for a less complex -- and only sporadically effective -- franchise reboot.,39.0
how to make an american quilt,"How to Make an American Quilt is a bit of a patchwork from a storytelling standpoint, but a strong ensemble cast led by Winona Ryder helps hold it all together.",61.0
slow burn,"With wooden acting and hammy, overheated dialogue, Slow Burn isn't so much a noir as it is a mediocre parody of one.",11.0
ghost town,"Ricky Gervais' consistently sharp performance and beautifully dry execution transform this otherwise mainstream comedy into an endearing, funny, and altogether snappy romantic comedy. With ghosts.",85.0
phantom of the opera,"Though it lives beneath the 1925 version, Claude Rains plays title character well in this landmark color version of the classic tragedy.",76.0
bad reputation,"Bad Reputation offers fans and novices a solidly entertaining overview of Joan Jett's trailblazing career, albeit one that might leave some viewers craving a deeper look.",79.0
protagonist,Protagonist skillfully intertwines its subjects' lives through an unexpected common thread -- Euripedes.,82.0
